Gene	RAWVALUE	VALUE
LMOf2365_0590	0.0	0.0
LMOf2365_0591	2.0	1.0
LMOf2365_0592	0.0	0.0
LMOf2365_0593	0.0	0.0
LMOf2365_0594	0.0	0.0
LMOf2365_0595	0.0	0.0
LMOf2365_0596	2.0	1.0
LMOf2365_0597	3.0	1.584962501
LMOf2365_0598	2.0	1.0
LMOf2365_0599	0.0	0.0
LMOf2365_0600	1.0	1.0
LMOf2365_0601	2.0	1.0
LMOf2365_0602	0.0	0.0
LMOf2365_0603	3.0	1.584962501
LMOf2365_0604	1.0	1.0
LMOf2365_0605	0.0	0.0
LMOf2365_0606	0.0	0.0
LMOf2365_0607	1.0	1.0
LMOf2365_0608	0.0	0.0
LMOf2365_0609	1.0	1.0
LMOf2365_0610	0.0	0.0
LMOf2365_0611	1.0	1.0
LMOf2365_0612	7.0	2.807354922
LMOf2365_0613	4.0	2.0
LMOf2365_0614	0.0	0.0
LMOf2365_0615	2.0	1.0
LMOf2365_0616	4.0	2.0
LMOf2365_0617	1.0	1.0
LMOf2365_0618	0.0	0.0
LMOf2365_0619	2.0	1.0
LMOf2365_0620	0.0	0.0
LMOf2365_0621	0.0	0.0
LMOf2365_0622	1.0	1.0
LMOf2365_0623	7.0	2.807354922
LMOf2365_0624	3.0	1.584962501
LMOf2365_0625	0.0	0.0
LMOf2365_0626	0.0	0.0
LMOf2365_0627	1.0	1.0
LMOf2365_0628	4.0	2.0
LMOf2365_0629	1.0	1.0
LMOf2365_0630	0.0	0.0
LMOf2365_0631	0.0	0.0
LMOf2365_0632	0.0	0.0
LMOf2365_0633	0.0	0.0
LMOf2365_0634	0.0	0.0
LMOf2365_0635	0.0	0.0
LMOf2365_0636	5.0	2.321928095
LMOf2365_0637	0.0	0.0
LMOf2365_0638	1.0	1.0
LMOf2365_0639	2.0	1.0
LMOf2365_0640	0.0	0.0
LMOf2365_0641	1.0	1.0
LMOf2365_0642	2.0	1.0
LMOf2365_0643	0.0	0.0
LMOf2365_0644	0.0	0.0
LMOf2365_0645	1.0	1.0
LMOf2365_0646	6.0	2.584962501
LMOf2365_0647	2.0	1.0
LMOf2365_0648	0.0	0.0
LMOf2365_0649	0.0	0.0
