Genome elements	LOGFC_prfA_Star vs EGDe_280212.ge	STAT_prfA_Star vs EGDe_280212_LPE.ge	LOGFC_prfA_Star vs EGDe_280212.gr	STAT_prfA_Star vs EGDe_280212_TSTUDENTTILING.gr	CORR_prfA_Star vs EGDe_280212_ARRAYSCORR.gr	STAT_prfA_Star vs EGDe_280212_FDRBY.gr	STAT_prfA_Star vs EGDe_280212_FDRBONF.gr	Strand	Begin	End	Length (bp)	Info	Description	Note	Supp Note	Operon	COG	StartCodon	SD energy
lmo0019	-2.2079742000771514	0.03116588509304874	-3.204787807651	5.055494720502024E-14	1.4514607134173114	0.5000000000027625	0.5000000000724705	-	23132	23953	822			hypothetical protein				ATG	 
lmo0020	-0.10687795093685981	0.9175400164908466	-0.1740051669149998	0.6858650557985699	1.6280735679316742	1.0	1.0	+	24194	24934	741			GntR family transcriptional regulator				ATG	 
lmo0021	-0.9575894649039007	0.3469762471962351	-0.8338099476950005	0.02896367177987293	0.8707384304595266	0.7127017943515783	1.0	+	24950	25351	402			PTS fructose transporter subunit IIA				TTG	 
lmo0022	0.19398873129405025	0.8355796156159181	-0.9345827122299992	0.025181345490050723	-4.817716503405285	0.6880853820343651	1.0	+	25351	25839	489			PTS fructose transporter subunit IIB				ATG	 
lmo0023	-0.08794267326956007	0.8855112431567705	-0.919212195290001	0.0037550828700584154	10.452402242452315	0.534819327121401	1.0	+	25862	26665	804			PTS fructose transporter subunit IIC				ATG	 
lmo0024	0.17938793968799072	0.7242617790203001	-1.0053122448200007	6.492065974401878E-5	-5.60412392588119	0.5009381150587742	0.593063765743051	+	26640	27467	828			PTS mannose transporter subunit IID				ATG	 
lmo0025	-1.1826780799400396	0.23370586518230485	-1.8171399800099999	7.50167296443156E-10	1.5364620439250272	0.5000000239112171	0.5000010753648194	+	27495	28199	705			phosphoheptose isomerase				ATG	 
lmo0026	-0.23835486887693058	0.80040916618442	-1.5045274818899994	4.4409508375944695E-6	6.312132363727086	0.5000798185130771	0.5063661030256916	+	28254	28895	642			copper homeostasis protein CutC				ATG	 
lmo0027	-0.8567935866343603	0.35151610795394417	-2.094331527085	2.4284205120169193E-20	2.444382824236479	0.5	0.5	+	29100	31004	1905			PTS beta-glucoside transporter subunit IIABC				ATG	 
lmo0028	0.68682525670184	0.45662231202628334	-0.4173410535100004	0.059365907539594934	-0.6076378954293081	0.8996851494291886	1.0	+	31088	31963	876			microcin C7 self-immunity protein MccF				ATG	 
lmo0029	-0.14411993575549076	0.8558489247056427	-1.291961393285	8.625362203211519E-7	8.964487713045475	0.5000173354383693	0.5012364456718303	+	32197	32535	339			hypothetical protein				ATG	 
lmo0030	0.2570154652437502	0.7683018094532346	-0.2022698202469999	0.33652858144381015	-0.7869947438967138	1.0	1.0	-	32571	33380	810			hypothetical protein				TTG	 
lmo0031	-0.09172260842429925	0.9168233236159326	-0.41782285248700024	0.0028213675951320313	4.555287509424015	0.5271699539902883	1.0	-	33397	34452	1056			LacI family transcription regulator				ATG	 
lmo0032	0.5531999808719803	0.5567100092234023	-0.8242135732150002	4.0647497515454114E-4	-1.489901666149437	0.5048115838002738	1.0	+	34654	35619	966			xylose repressor				TTG	 
lmo0033	0.013201945784009794	0.9880797764362432	-0.7245471306100004	1.4298039970122412E-4	-54.8818441208547	0.5018878676833763	0.7049624029717048	+	35616	38018	2403			endoglucanase				ATG	 
lmo0034	0.5455589886615	0.48723435960201167	-0.8411776409699998	5.078383841536272E-4	-1.5418637735834662	0.5058120433942832	1.0	+	38031	39383	1353			PTS cellbiose transporter subunit IIC				ATG	 
lmo0035	0.08021232390970034	0.9304967938301583	-0.8407541565150005	5.878832734818574E-7	-10.481608255877067	0.5000121959004776	0.5008427306725363	+	39385	40470	1086			glucosamine--fructose-6-phosphate aminotransferase				ATG	 
lmo0036	-0.39696586530784916	0.66634631045899	-1.376369069905	2.1013237477859418E-8	3.4672227266634583	0.5000005555034458	0.5000301224759245	+	40705	41730	1026			putrescine carbamoyltransferase				ATG	 
lmo0037	-0.9107600475463995	0.347430511757986	-1.2445553550499993	9.513857502569456E-8	1.3665019215575487	0.5000022788226205	0.5001363811472993	+	41803	43188	1386			amino acid transporter				TTG	 
lmo0038	-0.5623445264781894	0.582293401461442	-1.0877621132450002	2.222717328554631E-4	1.9343339572581206	0.5027874635511027	0.8186265290483064	+	43175	44266	1092			agmatine deiminase				ATG	 
lmo0039	-0.6556608791216894	0.5256530288319621	-1.1009840593300009	3.265008889696366E-5	1.6791974241392256	0.5004989150807411	0.5468039024337974	+	44282	45223	942			carbamate kinase				ATG	 
lmo0040	-0.0490801604319806	0.9609831243257507	-0.4782009091599999	0.038471579456013746	9.743262959026607	0.7731351131020565	1.0	+	45325	46434	1110			agmatine deiminase				ATG	 
lmo0041	0.38137569604714106	0.7043160378417603	0.42838134649000015	0.39587321279514565	1.1232528735576501	1.0	1.0	+	46451	47230	780			hypothetical protein				ATG	 
lmo0042	1.8061943411498502	0.03247889745293664	0.2613697980799996	0.6163044088524725	0.14470746149808425	1.0	1.0	+	47335	47994	660			DedA protein				GTG	 
lmo0043	-2.26914890941422	0.015281132714609513	-3.0181354351699996	3.20953986211468E-45	1.3300737658284094	0.5	0.5	+	48074	49306	1233			arginine deiminase				ATG	 
lmo0044	0.2390246681044701	0.6467866133175248	-0.7272167946800003	0.007757361162972134	-3.042434073633592	0.5668652460063808	1.0	+	49585	49878	294			30S ribosomal protein S6				ATG	 
lmo0045	0.23552107884126983	0.6520484183525654	-0.64626319042	1.4430041168093564E-4	-2.7439717650731006	0.5019011948785401	0.7068546401446212	+	49934	50470	537			single-strand binding protein				ATG	 
lmo0046	0.684837147181641	0.4018849295785185	-0.39405845104500026	0.5212034770591498	-0.5754046092077467	1.0	1.0	+	50514	50753	240			30S ribosomal protein S18				ATG	 
lmo0047	0.7105845048025108	0.4879721010665974	0.02893217620499966	0.3442151592757018	0.040716024638112025	1.0	1.0	+	50907	51518	612			hypothetical protein				ATG	 
