Gene	LogFc_0	LogFc_1	LogFc_2	LOGFC	STDEV
lmo0119	0.5224942987310168	2.111828248100437	2.3917440328202204	2.2111500946661726	0.8231666374803294
lmo0120	1.4194547514479456	3.9177814372824766	7.597235358127801	4.017103283848212	2.537386901892196
lmo0121	1.7301270351582074	3.694564489499758	5.40338359288068	3.7938863360654933	1.5008105579967506
lmo0122	3.700535670269743	4.261059768814399	6.052719267643558	4.360381615380135	1.0031615966282974
lmo0123	1.3673168210501805	2.6828591672332154	4.7831313221547385	2.782181013798951	1.4067134074104812
lmo0124	2.9509856213252252	3.1077227845424007	5.394110987030086	3.207044631108136	1.1165919926951697
lmo0125	2.3230288447295973	2.9692341963290145	4.553484330108163	3.06855604289475	0.9370379759332841
lmo0126	1.813645895148599	2.7822534856474723	4.576809901290066	2.881575332213208	1.1447323179645184
lmo0127	3.0599804549339966	2.7204692420543086	5.848912222860834	3.159302301499732	1.4016087484656958
lmo0128	2.6916839869885694	3.444633927356363	6.697164911202373	3.5439557739220984	1.7381269883226085
lmo0129	1.4659523671515906	2.219422613610565	3.1666940836534874	2.3187444601763003	0.6958258910984073
lmo0130	-4.6237166968203685	-3.924086951395017	-1.6154749972057978	-3.8247651048292814	1.285331304416156
lmo0131	-0.3336048269187444	-0.7290395729248802	-0.8576563074981216	-0.6297177263591447	0.22299498177180238
lmo0132	-1.31921643622883	-1.1022671013789198	-1.0043039552867814	-1.0029452548131843	0.13158590879352683
lmo0133	2.3150934434168997	1.5599055762211247	2.098220795383117	2.1975426419488526	0.3174771619793765
lmo0134	2.3596948353647447	1.6486158960369162	2.9414080047943836	2.45901668193048	0.5286602464836148
lmo0135	1.6727461750937938	-0.46027321221080353	0.7197681937365203	0.8190900403022559	0.8724446151997399
lmo0136	2.2193130189646766	0.37500505203241996	1.0573156762551221	1.1566375228208576	0.7613772235802574
lmo0137	1.5203244208848563	-0.22976430982925056	0.2672155586915288	0.3665374052572643	0.7363635406203847
lmo0138	-2.708288060318125	0.17612883759441278	-0.28929097973973583	-0.18996913317400033	1.2643849327364014
lmo0139	0.7252408673388668	6.249443220749384E-4	-2.727575550095177	0.09994679088781044	1.486610140410057
lmo0140	2.5232242883045988	0.24742082739535487	-0.02875495532370742	0.3467426739610904	1.143491364955818
lmo0141	0.4026409988456807	-0.19439430144135095	1.1674591227699804	0.5019628454114162	0.5573790513055067
lmo0142	0.529583560465472	-0.15809637673086652	0.7297103121751931	0.6289054070312075	0.3802272901595373
lmo0143	0.7933723802044144	1.507276053823296	0.4070326259817598	0.8926942267701499	0.4557597395080305
lmo0144	0.48691391405340667	1.074487975681076	1.178245295214147	1.1738098222468114	0.30440249995906216
