GenomeElements	RAWVALUE	VALUE
lmo0622	0.0	0.0
lmo0623	0.0	0.0
lmo0624	4.0	2.0
lmo0625	0.0	0.0
lmo0626	0.0	0.0
lmo0627	0.0	0.0
lmo0628	1.0	1.0
lmo0629	1.0	1.0
lmo0630	0.0	0.0
lmo0631	0.0	0.0
lmo0632	0.0	0.0
lmo0633	0.0	0.0
lmo0634	0.0	0.0
lmo0635	0.0	0.0
lmo0636	0.0	0.0
lmo0637	0.0	0.0
lmo0638	1.0	1.0
lmo0639	0.0	0.0
lmo0640	0.0	0.0
lmo0641	0.0	0.0
lmo0642	1.0	1.0
lmo0643	0.0	0.0
lmo0644	0.0	0.0
lmo0645	0.0	0.0
lmo0646	0.0	0.0
lmo0647	0.0	0.0
lmo0648	0.0	0.0
lmo0649	0.0	0.0
lmo0650	6.0	2.584962501
lmo0651	2.0	1.0
lmo0652	0.0	0.0
lmo0653	0.0	0.0
lmo0654	0.0	0.0
lmo0655	0.0	0.0
lmo0656	0.0	0.0
lmo0657	0.0	0.0
lmo0658	0.0	0.0
lmo0659	0.0	0.0
lmo0660	0.0	0.0
lmo0661	0.0	0.0
lmo0662	0.0	0.0
lmo0663	0.0	0.0
lmo0664	0.0	0.0
lmo0665	2.0	1.0
lmo0666	0.0	0.0
lmo0667	3.0	1.584962501
lmo0668	0.0	0.0
lmo0669	0.0	0.0
lmo0670	0.0	0.0
lmo0671	3.0	1.584962501
lmo0672	0.0	0.0
lmo0673	0.0	0.0
lmo0674	0.0	0.0
lmo0675	0.0	0.0
lmo0676	1.0	1.0
lmo0677	0.0	0.0
lmo0678	0.0	0.0
lmo0679	1.0	1.0
lmo0680	2.0	1.0
lmo0681	0.0	0.0
lmo0682	2.0	1.0
lmo0683	2.0	1.0
lmo0684	0.0	0.0
lmo0685	0.0	0.0
lmo0686	0.0	0.0
lmo0687	0.0	0.0
lmo0688	5.0	2.321928095
lmo0689	4.0	2.0
lmo0690	0.0	0.0
lmo0691	11.0	3.459431619
lmo0692	2.0	1.0
lmo0693	0.0	0.0
lmo0694	1.0	1.0
lmo0695	0.0	0.0
lmo0696	0.0	0.0
lmo0697	0.0	0.0
lmo0698	0.0	0.0
lmo0699	7.0	2.807354922
lmo0700	0.0	0.0
lmo0701	0.0	0.0
lmo0702	0.0	0.0
lmo0703	1.0	1.0
lmo0704	2.0	1.0
lmo0705	3.0	1.584962501
lmo0706	3.0	1.584962501
lmo0707	0.0	0.0
lmo0708	0.0	0.0
lmo0709	0.0	0.0
lmo0710	0.0	0.0
lmo0711	0.0	0.0
lmo0712	0.0	0.0
lmo0713	5.0	2.321928095
lmo0714	1.0	1.0
lmo0715	0.0	0.0
lmo0716	5.0	2.321928095
lmo0717	1.0	1.0
lmo0718	0.0	0.0
lmo0719	0.0	0.0
lmo0720	0.0	0.0
lmo0721	5.0	2.321928095
lmo0722	0.0	0.0
lmo0723	0.0	0.0
lmo0724	0.0	0.0
lmo0725	0.0	0.0
lmo0726	1.0	1.0
lmo0727	4.0	2.0
lmo0728	1.0	1.0
lmo0729	0.0	0.0
lmo0730	0.0	0.0
lmo0731	0.0	0.0
lmo0732	0.0	0.0
lmo0733	1.0	1.0
lmo0734	0.0	0.0
lmo0735	1.0	1.0
lmo0736	8.0	3.0
lmo0737	0.0	0.0
lmo0738	1.0	1.0
lmo0739	0.0	0.0
lmo0740	3.0	1.584962501
lmo0741	0.0	0.0
lmo0742	0.0	0.0
lmo0743	0.0	0.0
lmo0744	6.0	2.584962501
lmo0745	3.0	1.584962501
lmo0746	0.0	0.0
lmo0747	0.0	0.0
lmo0748	0.0	0.0
lmo0749	0.0	0.0
lmo0750	1.0	1.0
lmo0751	0.0	0.0
lmo0752	1.0	1.0
lmo0753	4.0	2.0
lmo0754	0.0	0.0
lmo0755	2.0	1.0
lmo0756	0.0	0.0
lmo0757	0.0	0.0
lmo0758	2.0	1.0
lmo0759	0.0	0.0
lmo0760	0.0	0.0
lmo0761	0.0	0.0
lmo0762	0.0	0.0
lmo0763	4.0	2.0
lmo0764	0.0	0.0
lmo0765	8.0	3.0
lmo0766	0.0	0.0
lmo0767	0.0	0.0
lmo0768	2.0	1.0
lmo0769	0.0	0.0
lmo0770	4.0	2.0
lmo0771	2.0	1.0
lmo0772	0.0	0.0
lmo0773	0.0	0.0
lmo0774	1.0	1.0
lmo0775	0.0	0.0
lmo0776	0.0	0.0
lmo0777	0.0	0.0
lmo0778	0.0	0.0
lmo0779	0.0	0.0
lmo0780	2.0	1.0
lmo0781	0.0	0.0
lmo0782	0.0	0.0
lmo0783	0.0	0.0
lmo0784	2.0	1.0
lmo0785	0.0	0.0
lmo0786	0.0	0.0
lmo0787	0.0	0.0
lmo0788	0.0	0.0
lmo0789	0.0	0.0
lmo0790	0.0	0.0
lmo0791	0.0	0.0
lmo0792	0.0	0.0
lmo0793	0.0	0.0
lmo0794	1.0	1.0
lmo0795	0.0	0.0
lmo0796	3.0	1.584962501
lmo0797	0.0	0.0
lmo0798	0.0	0.0
lmo0799	0.0	0.0
lmo0800	0.0	0.0
lmo0801	6.0	2.584962501
lmo0802	0.0	0.0
lmo0803	0.0	0.0
lmo0804	0.0	0.0
lmo0805	0.0	0.0
lmo0806	1.0	1.0
lmo0807	0.0	0.0
lmo0808	0.0	0.0
lmo0809	0.0	0.0
lmo0810	0.0	0.0
lmo0811	0.0	0.0
lmo0812	0.0	0.0
lmo0813	2.0	1.0
lmo0814	0.0	0.0
lmo0815	5.0	2.321928095
lmo0816	1.0	1.0
lmo0817	0.0	0.0
lmo0818	0.0	0.0
lmo0819	0.0	0.0
lmo0820	0.0	0.0
lmo0821	0.0	0.0
lmo0822	0.0	0.0
lmo0823	0.0	0.0
lmo0824	2.0	1.0
lmo0825	4.0	2.0
lmo0826	0.0	0.0
lmo0827	1.0	1.0
lmo0828	1.0	1.0
lmo0829	0.0	0.0
lmo0830	0.0	0.0
lmo0831	0.0	0.0
lmo0832	0.0	0.0
lmo0833	1.0	1.0
lmo0834	0.0	0.0
lmo0835	0.0	0.0
lmo0836	0.0	0.0
lmo0837	0.0	0.0
lmo0838	1.0	1.0
lmo0839	0.0	0.0
lmo0840	0.0	0.0
lmo0841	0.0	0.0
lmo0842	0.0	0.0
lmo0843	1.0	1.0
lmo0844	0.0	0.0
lmo0845	0.0	0.0
lmo0846	0.0	0.0
lmo0847	0.0	0.0
lmo0848	0.0	0.0
lmo0849	0.0	0.0
lmo0850	0.0	0.0
lmo0851	0.0	0.0
lmo0852	0.0	0.0
lmo0853	0.0	0.0
lmo0854	2.0	1.0
lmo0855	1.0	1.0
lmo0856	6.0	2.584962501
lmo0857	1.0	1.0
lmo0858	0.0	0.0
lmo0859	0.0	0.0
lmo0860	0.0	0.0
lmo0861	0.0	0.0
lmo0862	0.0	0.0
lmo0863	2.0	1.0
lmo0864	0.0	0.0
lmo0865	0.0	0.0
lmo0866	0.0	0.0
lmo0866a	0.0	0.0
lmo0867	0.0	0.0
lmo0868	0.0	0.0
lmo0869	0.0	0.0
lmo0870	2.0	1.0
lmo0871	0.0	0.0
lmo0872	0.0	0.0
lmo0873	0.0	0.0
lmo0874	0.0	0.0
lmo0875	0.0	0.0
lmo0876	0.0	0.0
lmo0877	0.0	0.0
lmo0878	9.0	3.169925001
lmo0879	0.0	0.0
lmo0880	0.0	0.0
lmo0881	0.0	0.0
lmo0882	2.0	1.0
lmo0883	0.0	0.0
lmo0884	5.0	2.321928095
lmo0885	0.0	0.0
lmo0886	0.0	0.0
lmo0887	0.0	0.0
lmo0888	1.0	1.0
lmo0889	3.0	1.584962501
lmo0890	2.0	1.0
lmo0891	1.0	1.0
lmo0892	0.0	0.0
lmo0893	0.0	0.0
lmo0894	0.0	0.0
lmo0895	2.0	1.0
lmo0896	0.0	0.0
lmo0897	0.0	0.0
lmo0898	0.0	0.0
lmo0899	0.0	0.0
lmo0900	0.0	0.0
lmo0901	1.0	1.0
lmo0902	0.0	0.0
lmo0903	0.0	0.0
lmo0904	0.0	0.0
lmo0905	0.0	0.0
lmo0906	0.0	0.0
lmo0907	0.0	0.0
lmo0908	2.0	1.0
lmo0909	0.0	0.0
lmo0910	3.0	1.584962501
lmo0911	0.0	0.0
lmo0912	0.0	0.0
lmo0913	0.0	0.0
lmo0914	0.0	0.0
lmo0915	0.0	0.0
lmo0916	1.0	1.0
lmo0917	1.0	1.0
lmo0918	0.0	0.0
lmo0919	0.0	0.0
lmo0920	0.0	0.0
lmo0921	2.0	1.0
lmo0922	0.0	0.0
lmo0923	0.0	0.0
lmo0924	0.0	0.0
lmo0925	1.0	1.0
lmo0926	3.0	1.584962501
lmo0927	4.0	2.0
lmo0928	0.0	0.0
lmo0929	0.0	0.0
lmo0930	0.0	0.0
lmo0931	0.0	0.0
lmo0932	0.0	0.0
lmo0933	0.0	0.0
lmo0934	2.0	1.0
lmo0935	0.0	0.0
lmo0936	3.0	1.584962501
lmo0937	0.0	0.0
lmo0938	0.0	0.0
lmo0939	0.0	0.0
lmo0940	2.0	1.0
lmo0941	0.0	0.0
lmo0942	0.0	0.0
lmo0943	0.0	0.0
lmo0944	0.0	0.0
lmo0945	3.0	1.584962501
lmo0946	0.0	0.0
lmo0947	0.0	0.0
lmo0948	0.0	0.0
lmo0949	0.0	0.0
lmo0950	1.0	1.0
lmo0951	0.0	0.0
lmo0952	0.0	0.0
lmo0953	0.0	0.0
lmo0954	0.0	0.0
lmo0955	0.0	0.0
lmo0956	0.0	0.0
lmo0957	0.0	0.0
lmo0958	1.0	1.0
lmo0959	0.0	0.0
lmo0960	2.0	1.0
lmo0961	5.0	2.321928095
lmo0962	0.0	0.0
lmo0963	0.0	0.0
lmo0964	0.0	0.0
lmo0965	0.0	0.0
lmo0966	0.0	0.0
lmo0967	5.0	2.321928095
lmo0968	3.0	1.584962501
lmo0969	0.0	0.0
lmo0970	0.0	0.0
lmo0971	6.0	2.584962501
lmo0972	0.0	0.0
lmo0973	1.0	1.0
lmo0974	6.0	2.584962501
lmo0975	0.0	0.0
